Date,Channel,Pay period,Customer group,Campaign,Clicks,Impressions,Signups,FTD Count,FTD Amount,Deposits,Withdrawals,NGR,Income
2026-03-12,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,97,0,0,0,0,0,0,0,0.00
2026-03-12,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,435,0,0,0,0,0,0,0,0.00
2026-03-12,BetWarrior Brazil,2026-03-01,0,Uol - diária mobile - diária mobile,14,0,0,0,0,0,0,0,0.00
2026-03-12,BetWarrior Brazil,2026-03-01,0,365 Scores - Interstial - Institucional,14,0,0,0,0,0,0,0,0.00
2026-03-12,BetWarrior Brazil,2026-03-01,0,365 Scores - Banner - Institucional,1,0,0,0,0,0,0,0,0.00
2026-03-12,BetWarrior Brazil,2026-03-01,0,365 Scores - Home Page Takeover - Institucional,1,0,0,0,0,0,0,0,0.00
2026-03-13,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,96,0,0,0,0,0,0,0,0.00
2026-03-13,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,9,0,0,0,0,0,0,0,0.00
2026-03-13,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,27,0,0,0,0,0,0,0,0.00
2026-03-13,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,36,0,0,0,0,0,0,0,0.00
2026-03-13,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,11,0,0,0,0,0,0,0,0.00
2026-03-13,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,37,0,0,0,0,0,0,0,0.00
2026-03-13,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,267,0,0,0,0,0,0,0,0.00
2026-03-13,BetWarrior Brazil,2026-03-01,0,Uol - diária mobile - diária mobile,12,0,0,0,0,0,0,0,0.00
2026-03-13,BetWarrior Brazil,2026-03-01,0,365 Scores - Interstial - Institucional,514,0,0,0,0,0,0,0,0.00
2026-03-13,BetWarrior Brazil,2026-03-01,0,365 Scores - Banner - Institucional,108,0,0,0,0,0,0,0,0.00
2026-03-13,BetWarrior Brazil,2026-03-01,0,365 Scores - MPU - Institucional,15,0,0,0,0,0,0,0,0.00
2026-03-13,BetWarrior Brazil,2026-03-01,0,365 Scores - Floating Button - Institucional,59,0,1,0,0,0,0,0,0.00
2026-03-13,BetWarrior Brazil,2026-03-01,0,365 Scores - Home Page Takeover - Institucional,94,0,0,0,0,0,0,0,0.00
2026-03-14,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,23,0,0,0,0,0,0,0,0.00
2026-03-14,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,3,0,0,0,0,0,0,0,0.00
2026-03-14,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,26,0,0,0,0,0,0,0,0.00
2026-03-14,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,2,0,0,0,0,0,0,0,0.00
2026-03-14,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,9,0,0,0,0,0,0,0,0.00
2026-03-14,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,1,0,0,0,0,0,0,0,0.00
2026-03-14,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,10,0,0,0,0,0,0,0,0.00
2026-03-14,BetWarrior Brazil,2026-03-01,0,Uol - diária mobile - diária mobile,17,0,0,0,0,0,0,0,0.00
2026-03-14,BetWarrior Brazil,2026-03-01,0,365 Scores - Interstial - Institucional,3436,0,2,0,0,0,0,0,0.00
2026-03-14,BetWarrior Brazil,2026-03-01,0,365 Scores - Banner - Institucional,185,0,0,0,0,0,0,0,0.00
2026-03-14,BetWarrior Brazil,2026-03-01,0,365 Scores - MPU - Institucional,118,0,0,0,0,0,0,0,0.00
2026-03-14,BetWarrior Brazil,2026-03-01,0,365 Scores - Floating Button - Institucional,143,0,0,0,0,0,0,0,0.00
2026-03-14,BetWarrior Brazil,2026-03-01,0,365 Scores - Home Page Takeover - Institucional,1049,0,0,0,0,0,0,0,0.00
2026-03-15,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,35,0,0,0,0,0,0,0,0.00
2026-03-15,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,17,0,0,0,0,0,0,0,0.00
2026-03-15,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,6,0,0,0,0,0,0,0,0.00
2026-03-15,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,9,0,0,0,0,0,0,0,0.00
2026-03-15,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,4,0,0,0,0,0,0,0,0.00
2026-03-15,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,31,0,0,0,0,0,0,0,0.00
2026-03-15,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,9,0,0,0,0,0,0,0,0.00
2026-03-15,BetWarrior Brazil,2026-03-01,0,Uol - diária mobile - diária mobile,21,0,0,0,0,0,0,0,0.00
2026-03-15,BetWarrior Brazil,2026-03-01,0,365 Scores - Interstial - Institucional,1756,0,0,0,0,0,0,0,0.00
2026-03-15,BetWarrior Brazil,2026-03-01,0,365 Scores - Banner - Institucional,83,0,0,0,0,0,0,0,0.00
2026-03-15,BetWarrior Brazil,2026-03-01,0,365 Scores - MPU - Institucional,35,0,0,0,0,0,0,0,0.00
2026-03-15,BetWarrior Brazil,2026-03-01,0,365 Scores - Floating Button - Institucional,60,0,0,0,0,0,0,0,0.00
2026-03-15,BetWarrior Brazil,2026-03-01,0,365 Scores - Home Page Takeover - Institucional,427,0,0,0,0,0,0,0,0.00
2026-03-16,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,140,0,0,0,0,0,0,0,0.00
2026-03-16,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,19,0,0,0,0,0,0,0,0.00
2026-03-16,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,2,0,0,0,0,0,0,0,0.00
2026-03-16,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,16,0,0,0,0,0,0,0,0.00
2026-03-16,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,5,0,0,0,0,0,0,0,0.00
2026-03-16,BetWarrior Brazil,2026-03-01,0,Uol - 970x90 - Tênis,2,0,0,0,0,0,0,0,0.00
2026-03-16,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,26,0,0,0,0,0,0,0,0.00
